country.a,statea,year,endyear,dispnum3,hiact,hostlev,fatality,victor,pb.year,same.exp,outcome
Lebanon,660,1965,1965,1017,0,No militarized action,0,0,1966,0.9184070634400437,Neither
Indonesia,850,1965,1965,2914,15,Use of force,0,0,1966,0.8145364162309319,Neither
Iraq,645,1965,1966,2106,17,Use of force,1,0,1966,0.9162022957217083,Neither
Cyprus,352,1965,1965,2171,1,Threat to use force,0,0,1966,0.9492542197486755,Neither
Cyprus,352,1965,1965,2172,0,No militarized action,0,0,1966,0.9492542197486755,Neither
Iraq,645,1965,1965,3169,16,Use of force,0,0,1966,0.9162022957217083,Neither
Syria,652,1965,1965,3168,17,Use of force,1,0,1966,0.8320651507002084,Neither
USA,2,1965,1966,1216,16,Use of force,0,0,1966,0.9716308521588034,Neither
Thailand,800,1965,1966,1216,12,Display of force,0,0,1966,0.7779588233941676,Neither
Viet Nam,817,1965,1966,1216,12,Display of force,0,0,1966,0.7883648908218402,Neither
Pakistan,770,1965,1965,2631,17,Use of force,4,0,1966,0.6870109224160997,Neither
Nepal,790,1965,1965,1463,7,Display of force,0,0,1966,0.8676276555871759,Neither
Indonesia,850,1965,1965,2913,15,Use of force,0,0,1966,0.8145364162309319,Neither
India,750,1965,1965,2631,17,Use of force,4,0,1966,0.7673371123570798,Neither
Fm USSR,365,1965,1965,2915,12,Display of force,0,0,1966,0.9736313772110555,Neither
Zimbabwe,552,1965,1966,1804,7,Display of force,0,0,1966,0.6952858994892676,Neither
Somalia,520,1965,1965,2066,17,Use of force,0,0,1966,0.39234463711188505,Neither
Togo,461,1965,1965,1419,17,Use of force,1,0,1966,0.963654503188273,Neither
Uganda,500,1965,1965,1366,0,No militarized action,0,0,1966,0.7525110429270871,Neither
Ethiopia,530,1965,1965,2066,17,Use of force,0,0,1966,0.6635886202506611,Neither
Dem.Rp.Congo,490,1965,1965,1319,14,Use of force,NA,0,1966,0.9213061201524324,Neither
Kenya,501,1965,1965,1366,15,Use of force,0,0,1966,0.9274523202594168,Neither
Turkey,640,1965,1965,2171,1,Threat to use force,0,0,1966,0.9266395977683061,Neither
Turkey,640,1965,1965,2172,1,Threat to use force,0,0,1966,0.9266395977683061,Neither
Iran,630,1965,1966,2106,17,Use of force,1,0,1966,0.8997427567344954,Neither
Turkey,640,1965,1965,3169,0,No militarized action,0,0,1966,0.9266395977683061,Neither
Israel,666,1965,1965,1017,16,Use of force,0,0,1966,0.9652083492405682,Neither
Turkey,640,1965,1965,3168,17,Use of force,1,0,1966,0.9266395977683061,Neither
Japan,740,1965,1965,2914,0,No militarized action,0,0,1966,0.9939135130911193,Neither
Malaysia,820,1965,1965,2913,0,No militarized action,0,0,1966,0.9727474643935087,Neither
USA,2,1965,1967,2929,17,Use of force,NA,0,1967,0.926928267798608,Neither
Fm USSR,365,1965,1966,2708,7,Display of force,0,0,1966,0.9736313772110555,Neither
USA,2,1965,1965,2910,7,Display of force,0,0,1966,0.9716308521588034,Neither
UK,200,1965,1965,2915,0,No militarized action,0,0,1966,0.9940850091467122,Neither
China,710,1965,1966,2708,0,No militarized action,0,0,1966,0.9743345525383081,Neither
UK,200,1965,1966,1804,7,Display of force,0,0,1966,0.9940850091467122,Neither
Zambia,551,1965,1966,1804,0,No militarized action,0,0,1966,0.516977777029081,Neither
Ghana,452,1965,1965,1419,17,Use of force,1,0,1966,0.9081134143406148,Neither
USA,2,1965,1965,2916,1,Threat to use force,0,0,1966,0.9716308521588034,Neither
India,750,1965,1965,1463,15,Use of force,0,0,1966,0.7673371123570798,Neither
Guinea,438,1966,1966,1408,15,Use of force,0,0,1967,0.6774801529573036,Neither
Portugal,235,1966,1969,1392,17,Use of force,0,0,1969,0.8175352879104486,Neither
Zimbabwe,552,1966,1966,1401,16,Use of force,0,0,1967,0.7936232489106009,Neither
Fm USSR,365,1966,1966,2921,16,Use of force,0,0,1967,0.8118941157147732,Neither
Guyana,110,1966,1967,1166,0,No militarized action,0,0,1967,0.9375431820270166,Neither
Jordan,663,1966,1966,3412,1,Threat to use force,0,0,1967,0.5894647597732727,Neither
Syria,652,1966,1966,3412,16,Use of force,0,0,1967,0.8726466036921993,Neither
Korea Rep.,732,1966,1966,2919,15,Use of force,0,0,1967,0.899074260224746,Neither
Iraq,645,1966,1966,2107,7,Display of force,0,0,1967,0.7791563495291635,Neither
Israel,666,1966,1966,3412,16,Use of force,0,0,1967,0.9825483841456952,Neither
Syria,652,1966,1966,3171,16,Use of force,1,0,1967,0.8726466036921993,Neither
Pakistan,770,1966,1966,2632,11,Display of force,0,0,1967,0.8631308237448942,Neither
Japan,740,1966,1966,2919,0,No militarized action,0,0,1967,0.9857881934559034,Neither
China,710,1966,1966,2920,15,Use of force,0,0,1967,0.9625971020367211,Neither
China,710,1966,1966,2891,16,Use of force,1,0,1967,0.9625971020367211,Neither
China,710,1966,1966,1713,15,Use of force,0,0,1967,0.9625971020367211,Neither
Zambia,551,1966,1969,1392,17,Use of force,0,0,1969,0.188702600508733,Neither
Indonesia,850,1966,1966,2918,16,Use of force,0,0,1967,0.5891148144860557,Neither
Chad,483,1966,1966,1322,16,Use of force,0,0,1967,0.8536487688535578,Neither
Sudan,625,1966,1966,1322,8,Display of force,0,0,1967,0.9540035250559528,Neither
Zimbabwe,552,1966,1966,1324,0,No militarized action,0,0,1967,0.7936232489106009,Neither
Somalia,520,1966,1966,2067,17,Use of force,1,0,1967,0.48537008211432314,Neither
Ghana,452,1966,1966,1408,15,Use of force,0,0,1967,0.8559099751699737,Neither
Ethiopia,530,1966,1966,2067,17,Use of force,1,0,1967,0.7128355975500816,Neither
Jordan,663,1966,1966,3171,8,Display of force,1,0,1967,0.5894647597732727,Neither
UK,200,1966,1966,2918,0,No militarized action,0,0,1967,0.9899634676476797,Neither
India,750,1966,1966,2632,0,No militarized action,0,0,1967,0.9660288049171406,Neither
Korea Rep.,732,1966,1966,2920,0,No militarized action,0,0,1967,0.899074260224746,Neither
Taiwan,713,1966,1966,2891,16,Use of force,1,0,1967,0.596721356478787,Neither
Netherlands,210,1966,1966,1713,0,No militarized action,0,0,1967,0.9908838506378053,Neither
Fm USSR,365,1966,1968,343,17,Use of force,1,0,1968,0.6830694534529039,Neither
USA,2,1966,1966,2921,0,No militarized action,0,0,1967,0.9823223943896517,Neither
China,710,1966,1968,343,17,Use of force,1,0,1968,0.9546890203791228,Neither
Iran,630,1966,1966,2107,16,Use of force,0,0,1967,0.9469443825162895,Neither
Zambia,551,1966,1966,1401,1,Threat to use force,0,0,1967,0.9386475203354678,Neither
Dem.Rp.Congo,490,1966,1966,1324,1,Threat to use force,0,0,1967,0.8752835569705261,Neither
Madagascar,580,1966,1966,1324,1,Threat to use force,0,0,1967,0.9397727774356079,Neither
Somalia,520,1966,1966,1324,1,Threat to use force,0,0,1967,0.48537008211432314,Neither
Venezuela,101,1966,1967,1166,14,Use of force,0,0,1967,0.982333915596402,Neither
Ecuador,130,1967,1967,1805,15,Use of force,0,0,1968,0.6828399417170525,Neither
Fm USSR,365,1967,1967,345,1,Threat to use force,0,0,1968,0.9411143716266241,Neither
Fm USSR,365,1967,1967,2930,16,Use of force,0,0,1968,0.9411143716266241,Neither
Fm USSR,365,1967,1967,2931,0,No militarized action,0,0,1968,0.9411143716266241,Neither
Fm USSR,365,1967,1967,2934,0,No militarized action,0,0,1968,0.9411143716266241,Neither
Cambodia,811,1967,1967,1217,17,Use of force,NA,0,1968,0.8899639331353836,Neither
Chile,155,1967,1968,1609,7,Display of force,0,0,1968,0.8879135488937752,Neither
USA,2,1967,1967,1805,0,No militarized action,0,0,1968,0.9802900520478788,Neither
Cuba,40,1967,1967,1115,17,Use of force,1,0,1968,0.8454921484358121,Neither
Jordan,663,1967,1970,1067,17,Use of force,3,0,1970,0.6088323780383436,Neither
Saudi Arabia,670,1967,1967,3170,7,Display of force,0,0,1968,0.765663042599573,Neither
Syria,652,1967,1967,3446,17,Use of force,0,0,1968,0.8149596340926645,Neither
Greece,350,1967,1967,1280,0,No militarized action,0,0,1968,0.8591922975069861,Neither
Cyprus,352,1967,1967,1280,0,No militarized action,0,0,1968,0.8865243978938709,Neither
Pakistan,770,1967,1967,1343,17,Use of force,1,0,1968,0.9360284473174072,Neither
China,710,1967,1967,1715,17,Use of force,1,0,1968,0.9780655955526248,Neither
China,710,1967,1967,2097,15,Use of force,0,0,1968,0.9780655955526248,Neither
India,750,1967,1967,1343,17,Use of force,1,0,1968,0.9384709107285791,Neither
Cambodia,811,1967,1967,1230,0,No militarized action,0,0,1968,0.8899639331353836,Neither
China,710,1967,1967,2935,16,Use of force,NA,0,1968,0.9780655955526248,Neither
Turkey,640,1967,1967,1280,7,Display of force,0,0,1968,0.9808065186033742,Neither
Fm USSR,365,1967,1967,2933,0,No militarized action,0,0,1968,0.9411143716266241,Neither
Ethiopia,530,1967,1967,1422,14,Use of force,0,0,1968,0.543046758003387,Neither
Guinea,438,1967,1967,1352,15,Use of force,0,0,1968,0.5704772853450351,Neither
Sudan,625,1967,1967,1422,0,No militarized action,0,0,1968,0.8922557043179059,Neither
Somalia,520,1967,1967,1378,17,Use of force,2,0,1968,0.6352350009456059,Neither
Cote Divoire,437,1967,1967,1352,15,Use of force,0,0,1968,0.9846487250686341,Neither
Argentina,160,1967,1968,1609,16,Use of force,0,0,1968,0.9432869297011748,Neither
Venezuela,101,1967,1967,1115,17,Use of force,1,0,1968,0.9868462424324236,Neither
Kuwait,690,1967,1967,3172,7,Display of force,0,0,1968,0.8397532983767458,Neither
Israel,666,1967,1970,1067,17,Use of force,3,0,1970,0.9498461998057237,Neither
Iraq,645,1967,1967,3172,12,Display of force,0,0,1968,0.7799604058143063,Neither
Israel,666,1967,1967,3170,7,Display of force,0,0,1968,0.9838183194113301,Neither
Israel,666,1967,1967,3446,17,Use of force,0,0,1968,0.9838183194113301,Neither
India,750,1967,1967,1715,17,Use of force,1,0,1968,0.9384709107285791,Neither
India,750,1967,1967,2097,0,No militarized action,0,0,1968,0.9384709107285791,Neither
Taiwan,713,1967,1967,2935,12,Display of force,NA,0,1968,0.9454755853408537,Neither
Fm USSR,365,1967,1967,2710,0,No militarized action,0,0,1968,0.9411143716266241,Neither
USA,2,1967,1967,345,7,Display of force,0,0,1968,0.9802900520478788,Neither
USA,2,1967,1967,2930,0,No militarized action,0,0,1968,0.9802900520478788,Neither
USA,2,1967,1967,2931,7,Display of force,0,0,1968,0.9802900520478788,Neither
USA,2,1967,1967,2934,15,Use of force,0,0,1968,0.9802900520478788,Neither
Israel,666,1967,1967,345,0,No militarized action,0,0,1968,0.9838183194113301,Neither
Israel,666,1967,1970,1480,20,War,6,0,1970,0.9498461998057237,Neither
Japan,740,1967,1967,2930,0,No militarized action,0,0,1968,0.9897679557534994,Neither
Korea Rep.,732,1967,1967,2930,0,No militarized action,0,0,1968,0.8792410759721745,Neither
UK,200,1967,1967,2933,15,Use of force,0,0,1968,0.9823215529686553,Neither
China,710,1967,1967,2710,15,Use of force,0,0,1968,0.9780655955526248,Neither
Ethiopia,530,1967,1967,1378,7,Display of force,2,0,1968,0.543046758003387,Neither
Kenya,501,1967,1967,1378,17,Use of force,2,0,1968,0.8314120471004146,Neither
USA,2,1967,1967,1217,16,Use of force,NA,0,1968,0.9802900520478788,Neither
Korea Rep.,732,1967,1967,1217,16,Use of force,NA,0,1968,0.8792410759721745,Neither
Thailand,800,1967,1967,1230,14,Use of force,0,0,1968,0.959561013924968,Neither
Viet Nam,817,1967,1967,1217,16,Use of force,NA,0,1968,0.8068080942499601,Neither
Egypt,651,1968,1968,2924,0,No militarized action,0,0,1969,0.9340965353431211,Neither
Fm USSR,365,1968,1968,2928,16,Use of force,0,0,1969,0.8855541864488452,Neither
Korea D P Rp,731,1968,1968,347,15,Use of force,0,0,1969,0.6431888077109228,Neither
Fm USSR,365,1968,1968,2927,0,No militarized action,0,0,1969,0.8855541864488452,Neither
Fm USSR,365,1968,1968,2923,0,No militarized action,0,0,1969,0.8855541864488452,Neither
Cuba,40,1968,1968,2940,0,No militarized action,0,0,1969,0.6525499823169326,Neither
Fm USSR,365,1968,1968,2922,0,No militarized action,0,0,1969,0.8855541864488452,Neither
Lebanon,660,1968,1968,1051,16,Use of force,NA,0,1969,0.9416393634378072,Neither
Algeria,615,1968,1968,1069,15,Use of force,0,0,1969,0.9018682503266057,Neither
Syria,652,1968,1971,3447,17,Use of force,NA,0,1971,0.8048824017206477,Neither
Fm USSR,365,1968,1968,2925,15,Use of force,0,0,1969,0.8855541864488452,Neither
Israel,666,1968,1968,1051,16,Use of force,NA,0,1969,0.9854810616583848,Neither
Nepal,790,1968,1968,1462,0,No militarized action,0,0,1969,0.9887962286722436,Neither
Philippines,840,1968,1968,1072,7,Display of force,NA,0,1969,0.9704560416960566,Neither
Malaysia,820,1968,1968,1072,8,Display of force,NA,0,1969,0.9600049510563469,Neither
Cambodia,811,1968,1968,3300,15,Use of force,0,0,1969,0.8896440340251018,Neither
Cambodia,811,1968,1968,1610,17,Use of force,NA,0,1969,0.8896440340251018,Neither
China,710,1968,1968,2926,15,Use of force,0,0,1969,0.9690218819133866,Neither
Uganda,500,1968,1968,1403,0,No militarized action,0,0,1969,0.9292584530712082,Neither
USA,2,1968,1968,2924,7,Display of force,0,0,1969,0.9859121307113222,Neither
Cambodia,811,1968,1969,1806,17,Use of force,NA,0,1969,0.8896440340251018,Neither
Zambia,551,1968,1968,1400,0,No militarized action,0,0,1969,0.26913229459499766,Neither
Israel,666,1968,1968,1069,0,No militarized action,0,0,1969,0.9854810616583848,Neither
Fm USSR,365,1968,1969,1807,0,No militarized action,0,0,1969,0.8855541864488452,Neither
Sudan,625,1968,1968,1403,16,Use of force,0,0,1969,0.9248073158874831,Neither
Venezuela,101,1968,1968,2940,15,Use of force,0,0,1969,0.9554945960983127,Neither
Israel,666,1968,1971,3447,17,Use of force,NA,0,1971,0.9315744317591154,Neither
USA,2,1968,1969,1806,17,Use of force,NA,0,1969,0.9859121307113222,Neither
UK,200,1968,1968,2926,0,No militarized action,0,0,1969,0.9935773350329962,Neither
Fm USSR,365,1968,1968,2711,12,Display of force,0,0,1969,0.8855541864488452,Neither
USA,2,1968,1968,2928,0,No militarized action,0,0,1969,0.9859121307113222,Neither
Argentina,160,1968,1968,2927,15,Use of force,0,0,1969,0.9405163586692522,Neither
Brazil,140,1968,1968,2923,15,Use of force,0,0,1969,0.9806407624203969,Neither
Venezuela,101,1968,1968,2922,15,Use of force,0,0,1969,0.9554945960983127,Neither
Japan,740,1968,1968,2925,0,No militarized action,0,0,1969,0.9941536540604599,Neither
Ghana,452,1968,1969,1807,15,Use of force,0,0,1969,0.9323724036941492,Neither
China,710,1968,1968,2711,11,Display of force,0,0,1969,0.9690218819133866,Neither
South Africa,560,1968,1968,1400,1,Threat to use force,0,0,1969,0.9618757070922399,Neither
Philippines,840,1968,1968,3300,12,Display of force,0,0,1969,0.9704560416960566,Neither
Thailand,800,1968,1968,1610,17,Use of force,NA,0,1969,0.8832530713854718,Neither
USA,2,1968,1968,347,10,Display of force,0,0,1969,0.9859121307113222,Neither
India,750,1968,1968,1462,15,Use of force,0,0,1969,0.9256306643314693,Neither
Chad,483,1969,1969,1323,0,No militarized action,0,0,1970,0.9222397046554633,Neither
Portugal,235,1969,1969,1326,0,No militarized action,0,0,1970,0.9578112942491408,Neither
Dem.Rp.Congo,490,1969,1970,1325,16,Use of force,0,0,1970,0.7596254894376934,Neither
Portugal,235,1969,1971,1385,16,Use of force,0,0,1971,0.928869958461434,Neither
Peru,135,1969,1969,350,15,Use of force,0,0,1970,0.9379062124318746,Neither
China,710,1969,1969,2936,0,No militarized action,0,0,1970,0.9825087953925773,Neither
Uruguay,165,1969,1969,1172,0,No militarized action,0,0,1970,0.7784504083906252,Neither
USA,2,1969,1969,350,0,No militarized action,0,0,1970,0.9950926955114622,Neither
Guyana,110,1969,1969,2239,8,Display of force,0,0,1970,0.6232228809860085,Neither
Honduras,91,1969,1969,1206,20,War,6,0,1970,0.9649297514412327,Neither
El Salvador,92,1969,1969,1206,20,War,6,0,1970,0.9307806475377743,Neither
Fm USSR,365,1969,1969,2937,16,Use of force,0,0,1970,0.9338179583880025,Neither
Iraq,645,1969,1969,1136,16,Use of force,0,0,1970,0.7833721501428597,Neither
Iraq,645,1969,1969,2108,17,Use of force,2,0,1970,0.7833721501428597,Neither
Syria,652,1969,1969,3173,17,Use of force,NA,0,1970,0.6321360571301822,Neither
Pakistan,770,1969,1969,2633,17,Use of force,1,0,1970,0.7795971315070584,Neither
Pakistan,770,1969,1970,2634,16,Use of force,0,0,1970,0.7795971315070584,Neither
Pakistan,770,1969,1969,2635,17,Use of force,NA,0,1970,0.7795971315070584,Neither
China,710,1969,1969,2098,1,Threat to use force,0,0,1970,0.9825087953925773,Neither
Nepal,790,1969,1969,1449,0,No militarized action,0,0,1970,0.8750838080967985,Neither
India,750,1969,1969,2633,17,Use of force,1,0,1970,0.9073417629133934,Neither
India,750,1969,1970,2634,7,Display of force,0,0,1970,0.9073417629133934,Neither
India,750,1969,1969,2635,17,Use of force,NA,0,1970,0.9073417629133934,Neither
Cambodia,811,1969,1969,2938,17,Use of force,NA,0,1970,0.9027414301951595,Neither
Congo,484,1969,1969,1326,15,Use of force,0,0,1970,0.8919368533480331,Neither
Senegal,433,1969,1971,1385,12,Display of force,0,0,1971,0.8865957435351788,Neither
Dem.Rp.Congo,490,1969,1969,3206,15,Use of force,0,0,1970,0.7596254894376934,Neither
UK,200,1969,1969,1717,8,Display of force,NA,0,1970,0.9795986610686808,Neither
Eq.Guinea,411,1969,1969,1406,0,No militarized action,0,0,1970,0.7862763753541075,Neither
Spain,230,1969,1969,1717,7,Display of force,NA,0,1970,0.9865690647074742,Neither
Central African Republic,482,1969,1969,1323,13,Use of force,0,0,1970,0.814207172781426,Neither
Lebanon,660,1969,1969,3173,17,Use of force,NA,0,1970,0.9734766541094645,Neither
USA,2,1969,1969,2936,16,Use of force,0,0,1970,0.9950926955114622,Neither
India,750,1969,1969,2098,0,No militarized action,0,0,1970,0.9073417629133934,Neither
Fm USSR,365,1969,1969,349,17,Use of force,3,0,1970,0.9338179583880025,Neither
Myanmar,775,1969,1969,352,17,Use of force,NA,0,1970,0.8817910109921963,Neither
Japan,740,1969,1969,2937,0,No militarized action,0,0,1970,0.9930684499975331,Neither
China,710,1969,1969,349,17,Use of force,3,0,1970,0.9825087953925773,Neither
Congo,484,1969,1970,1325,8,Display of force,0,0,1970,0.8919368533480331,Neither
Portugal,235,1969,1969,3206,12,Display of force,0,0,1970,0.9578112942491408,Neither
Zimbabwe,552,1969,1969,1399,7,Display of force,0,0,1970,0.9588020384779201,Neither
Iran,630,1969,1969,1136,8,Display of force,0,0,1970,0.939447216276821,Neither
Iran,630,1969,1969,2108,17,Use of force,2,0,1970,0.939447216276821,Neither
Thailand,800,1969,1969,2938,17,Use of force,NA,0,1970,0.8616967774402136,Neither
Zambia,551,1969,1969,1399,7,Display of force,0,0,1970,0.21720342657812222,Neither
Argentina,160,1969,1969,1172,14,Use of force,0,0,1970,0.9362129847058286,Neither
Venezuela,101,1969,1969,2239,7,Display of force,0,0,1970,0.9608994684143956,Neither
China,710,1969,1969,352,17,Use of force,NA,0,1970,0.9825087953925773,Neither
India,750,1969,1969,1449,2,Threat to use force,0,0,1970,0.9073417629133934,Neither
Spain,230,1969,1969,1406,14,Use of force,0,0,1970,0.9865690647074742,Neither
Syria,652,1970,1970,1039,17,Use of force,3,0,1971,0.9029122612815599,Neither
Fm USSR,365,1970,1970,1039,7,Display of force,3,0,1971,0.8978312851401798,Neither
Fm USSR,365,1970,1970,2221,15,Use of force,0,0,1971,0.8978312851401798,Neither
Iraq,645,1970,1970,1039,11,Display of force,3,0,1971,0.7663377808225313,Neither
Guyana,110,1970,1970,2240,17,Use of force,0,0,1971,0.9125833693726221,Neither
Guatemala,90,1970,1970,2942,16,Use of force,0,0,1971,0.9269368229873896,Neither
El Salvador,92,1970,1970,2942,0,No militarized action,0,0,1971,0.9259207725923454,Neither
Algeria,615,1970,1970,1068,0,No militarized action,0,0,1971,0.887029718686759,Neither
Iraq,645,1970,1970,2109,15,Use of force,0,0,1971,0.7663377808225313,Neither
Lao P.Dem.R,812,1970,1970,2017,0,No militarized action,0,0,1971,0.937979678390849,Neither
Israel,666,1970,1970,1068,15,Use of force,0,0,1971,0.9534260231893923,Neither
Venezuela,101,1970,1970,2240,17,Use of force,0,0,1971,0.9575620745745311,Neither
USA,2,1970,1970,1039,8,Display of force,3,0,1971,0.9926156739287708,Neither
Israel,666,1970,1970,1039,10,Display of force,3,0,1971,0.9534260231893923,Neither
UK,200,1970,1970,1039,8,Display of force,3,0,1971,0.9678420450032883,Neither
Jordan,663,1970,1970,1039,17,Use of force,3,0,1971,0.6915817486091156,Neither
USA,2,1970,1970,2221,12,Display of force,0,0,1971,0.9926156739287708,Neither
Iran,630,1970,1970,2109,7,Display of force,0,0,1971,0.90461009744355,Neither
Thailand,800,1970,1970,2017,8,Display of force,0,0,1971,0.9544854816467656,Neither
Gambia,420,1971,1971,2616,15,Use of force,0,0,1972,0.9718411350874163,Neither
Uganda,500,1971,1971,1380,17,Use of force,3,0,1972,0.7077364137662874,Neither
Portugal,235,1971,1971,1391,15,Use of force,0,0,1972,0.9596799322468593,Neither
Dem.Rp.Congo,490,1971,1971,2619,16,Use of force,1,0,1972,0.6827726070330646,Neither
Ecuador,130,1971,1971,1158,15,Use of force,0,0,1972,0.8978325160020293,Neither
Cuba,40,1971,1971,2946,15,Use of force,0,0,1972,0.7728444523691294,Neither
China,710,1971,1971,2947,0,No militarized action,0,0,1972,0.9882236430263255,Neither
USA,2,1971,1971,1158,0,No militarized action,0,0,1972,0.9415483238032629,Neither
Syria,652,1971,1973,1046,20,War,6,0,1973,0.5362955941291051,Neither
Fm USSR,365,1971,1971,3659,12,Display of force,0,0,1972,0.7951626209074807,Neither
Jordan,663,1971,1973,1046,20,War,6,0,1973,0.6283163701498711,Neither
Iraq,645,1971,1972,1135,17,Use of force,1,0,1972,0.6156870789600501,Neither
Iraq,645,1971,1971,2110,17,Use of force,1,0,1972,0.6156870789600501,Neither
China,710,1971,1971,2099,0,No militarized action,0,0,1972,0.9882236430263255,Neither
Zambia,551,1971,1971,1391,1,Threat to use force,0,0,1972,0.8579845669055858,Neither
Uganda,500,1971,1971,1404,1,Threat to use force,0,0,1972,0.7077364137662874,Neither
Uganda,500,1971,1971,2622,1,Threat to use force,0,0,1972,0.7077364137662874,Neither
Bulgaria,355,1971,1971,2059,7,Display of force,0,0,1972,0.7810709070082678,Neither
Tanzania,510,1971,1971,1380,17,Use of force,3,0,1972,0.864698596732594,Neither
Sudan,625,1971,1971,1404,12,Display of force,0,0,1972,0.9237207768127232,Neither
Sudan,625,1971,1971,2622,0,No militarized action,0,0,1972,0.9237207768127232,Neither
Rwanda,517,1971,1971,2621,0,No militarized action,0,0,1972,0.8328365687895315,Neither
USA,2,1971,1971,2946,15,Use of force,0,0,1972,0.9415483238032629,Neither
Israel,666,1971,1973,1046,20,War,6,0,1973,0.968058595569678,Neither
Iran,630,1971,1972,1135,17,Use of force,1,0,1972,0.9206662551759484,Neither
Iran,630,1971,1971,2110,17,Use of force,1,0,1972,0.9206662551759484,Neither
Jordan,663,1971,1971,1081,17,Use of force,NA,0,1972,0.7530582986564259,Neither
USA,2,1971,1971,2947,12,Display of force,0,0,1972,0.9415483238032629,Neither
India,750,1971,1971,2099,12,Display of force,0,0,1972,0.9074192396946344,Neither
Yugoslavia,345,1971,1971,2059,0,No militarized action,0,0,1972,0.9562009541750157,Neither
Israel,666,1971,1971,3659,0,No militarized action,0,0,1972,0.9346193358760236,Neither
Zambia,551,1971,1971,2619,16,Use of force,1,0,1972,0.8579845669055858,Neither
Syria,652,1971,1971,1081,17,Use of force,NA,0,1972,0.8124040932149025,Neither
Senegal,433,1971,1971,2616,16,Use of force,0,0,1972,0.9572831001971143,Neither
Uganda,500,1971,1971,2621,13,Use of force,0,0,1972,0.7077364137662874,Neither
Portugal,235,1972,1972,1389,17,Use of force,1,0,1973,0.9409490837215384,Neither
Portugal,235,1972,1972,1364,17,Use of force,NA,0,1973,0.9409490837215384,Neither
Uganda,500,1972,1973,1381,16,Use of force,2,0,1973,0.7190080621611586,Neither
Portugal,235,1972,1973,1390,16,Use of force,0,0,1973,0.9409490837215384,Neither
Ecuador,130,1972,1972,602,15,Use of force,0,0,1973,0.8878112421559939,Neither
China,710,1972,1972,2948,0,No militarized action,0,0,1973,0.9852457169790357,Neither
Fm USSR,365,1972,1972,2949,0,No militarized action,0,0,1973,0.952015292322553,Neither
USA,2,1972,1972,602,0,No militarized action,0,0,1973,0.9799905509443184,Neither
UK,200,1972,1972,2319,7,Display of force,0,0,1973,0.992457796621172,Neither
Pakistan,770,1972,1972,2638,17,Use of force,3,0,1973,0.8759903860078088,Neither
India,750,1972,1972,2638,17,Use of force,3,0,1973,0.7873577454543644,Neither
Senegal,433,1972,1972,1389,17,Use of force,1,0,1973,0.9118638061549742,Neither
Tanzania,510,1972,1972,1364,17,Use of force,NA,0,1973,0.4423944599760591,Neither
Zambia,551,1972,1973,1390,0,No militarized action,0,0,1973,0.8846816278431346,Neither
Morocco,600,1972,1972,1118,15,Use of force,NA,0,1973,0.8848067601278677,Neither
Guatemala,90,1972,1972,2319,8,Display of force,0,0,1973,0.9601112398393431,Neither
Tanzania,510,1972,1973,1381,16,Use of force,2,0,1973,0.4423944599760591,Neither
Sudan,625,1972,1972,2138,16,Use of force,0,0,1973,0.9113169627524792,Neither
Spain,230,1972,1972,1118,7,Display of force,NA,0,1973,0.9661123692290626,Neither
Libya,620,1972,1972,2138,12,Display of force,0,0,1973,0.9390354211716533,Neither
USA,2,1972,1972,2948,16,Use of force,0,0,1973,0.9799905509443184,Neither
USA,2,1972,1972,2949,15,Use of force,0,0,1973,0.9799905509443184,Neither
Eq.Guinea,411,1972,1972,1340,16,Use of force,0,0,1973,0.7867319323223979,Neither
Rwanda,517,1972,1972,2615,16,Use of force,0,0,1973,0.8953618039721564,Neither
Burundi,516,1972,1972,2615,0,No militarized action,0,0,1973,0.8681328680734798,Neither
Gabon,481,1972,1972,1340,7,Display of force,0,0,1973,0.9227164980678201,Neither
Uganda,500,1973,1973,1367,16,Use of force,0,0,1974,0.748145746685483,Neither
Portugal,235,1973,1973,1342,17,Use of force,0,0,1974,0.8516664695971681,Neither
South Africa,560,1973,1973,1397,17,Use of force,2,0,1974,0.9615382445159859,Neither
South Africa,560,1973,1973,3215,16,Use of force,0,0,1974,0.9615382445159859,Neither
Uganda,500,1973,1973,3267,8,Display of force,0,0,1974,0.748145746685483,Neither
Zimbabwe,552,1973,1973,1397,16,Use of force,2,0,1974,0.9242014261877909,Neither
Libya,620,1973,1973,2950,16,Use of force,0,0,1974,0.9565181136010463,Neither
Syria,652,1973,1973,353,0,No militarized action,0,0,1974,0.4635361265412847,Neither
Fm USSR,365,1973,1973,353,8,Display of force,0,0,1974,0.726350088303191,Neither
Uruguay,165,1973,1973,1808,7,Display of force,0,0,1974,0.8230215943856694,Neither
Libya,620,1973,1973,1043,0,No militarized action,0,0,1974,0.9565181136010463,Neither
Iraq,645,1973,1973,2111,17,Use of force,2,0,1974,0.7461860937101852,Neither
Iran,630,1973,1973,2111,17,Use of force,2,0,1974,0.8946812932216882,Neither
Pakistan,770,1973,1973,1200,15,Use of force,0,0,1974,0.8698762136193608,Neither
China,710,1973,1973,2100,0,No militarized action,0,0,1974,0.9586360554264476,Neither
Iraq,645,1973,1973,1200,0,No militarized action,0,0,1974,0.7461860937101852,Neither
Malawi,553,1973,1973,1342,17,Use of force,0,0,1974,0.8526741287950946,Neither
